Nome,Idade,Profissão,Estado Civil,Pais,Relacionamentos
Ayo,47,Dora Milaje,Solteiro (a),Wakanda,"Okoye, Bucky Barnes, Shuri, T'Challa, Ramonda"
Bruce Banner,55,Bioquímico,Solteiro (a),EUA,Thor
Bucky Barnes,41,Soldado,Solteiro (a),EUA,Ayo
Clint Barton,52,Vigilante,Casado (a),EUA,"Yelena Belova, Carol Danvers"
Yelena Belova,27,Espiã,Solteiro (a),Rússia,Clint Barton
Emil Blonsky,62,Marinheiro,Solteiro (a),Croácia,
Peggy Carter,41,Agente,Casado (a),Inglaterra,
Carol Danvers,41,Piloto,Solteiro (a),EUA,Clint Barton
Drax,54,Cuidador,Viúvo (a),Kylos,Mantis
Valentina Allegra de Fontaine,62,Diretora,Divorciado (a),Itália,
Gamora,45,Soldado,Solteiro (a),Zen-Whoberi,Mantis
Groot,5,N/A,Solteiro (a),Planet X,"Thor, Mantis"
Heimdall,51,Protetor,Solteiro (a),Asgard,
Loki,1054,Principe,Solteiro (a),Asgard,Thor
Mantis,45,Guardiã,Solteiro (a),Vietnã,"Drax, Groot"
Wanda Maximoff,34,Bruxa,Solteiro (a),Sokovia,
Nebula,35,Comandante,Solteiro (a),Knowhere,
Okoye,45,General,Divorciado (a),Wakanda,Ayo
Peter Parker,16,Estudante,Solteiro (a),EUA,Thor
Ramonda,65,Rainha,Viúvo (a),Wakanda,"Ayo, Shuri"
Rocket,49,Caçador,Solteiro (a),Halfworld,
Steve Rogers,102,Soldado,Solteiro (a),EUA,Thor
Natasha Romanoff,38,Espiã,Solteiro (a),Rússia,Thor
Erik Selvig,72,Astrofísico,Casado (a),Dinamarca,
Shuri,30,Princesa,Solteiro (a),Wakanda,"Ayo, Ramonda"
Trevor Slattery,79,Ator,Solteiro (a),Inglaterra,
Tony Stark,58,Empresário,Casado (a),EUA,Thor
Stephen Strange,47,Médico,Solteiro (a),EUA,Thor
Talos,54,Agente,Casado (a),Tarnax IV,
T'Challa,43,Rei,Solteiro (a),Wakanda,"Thor, Ayo"
Thor,5000,Principe,Solteiro (a),Asgard,"Loki, Bruce Banner, Groot, Darcy Lewis, Wong, Stephen Strange, T'Challa, Tony Stark, Steve Rogers, Natasha Romanoff, Peter Parker"
Valkyrie,6400,Guardiã,Solteiro (a),Asgard,
Colleen Wing,31,Sensei,Solteiro (a),Japão,
Wong,52,Mago Supremo,Solteiro (a),Himalaia,Thor
Darcy Lewis,41,Astrofísica,Solteiro (a),EUA,Thor